ID,List,Item,Condition,Matrix_num,Match,phrase_type,Preamble,meanRTperword,Correct,RT,Exp
5a073f1c1a4c780001d9e894,0,34,filler,-,-,-,The dog,0.0,0,1296,EXP6
5a073f1c1a4c780001d9e894,0,17,pp_prep,p,1,prep,The teaching assistants for the physics labs,0.0,0,1577,EXP6
5a073f1c1a4c780001d9e894,0,48,filler,-,-,-,Some terminal diseases,0.0,0,1516,EXP6
5a073f1c1a4c780001d9e894,0,12,ss_prep,s,1,prep,The traffic jam on the Okemos street,0.0,0,1046,EXP6
5a073f1c1a4c780001d9e894,0,69,filler,-,-,-,The tight fingers,0.0,0,1151,EXP6
5a073f1c1a4c780001d9e894,0,50,filler,-,-,-,The President,0.0,0,1516,EXP6
5a073f1c1a4c780001d9e894,0,29,pp_rel,p,1,rel,The demonstrators that interrupted the rallies,0.0,1,1110,EXP6
5a073f1c1a4c780001d9e894,0,51,filler,-,-,-,The Prime Minister,0.0,1,1307,EXP6
5a073f1c1a4c780001d9e894,0,15,sp_rel,s,0,rel,The actor who directed the films,0.0,1,1071,EXP6
5a073f1c1a4c780001d9e894,0,75,filler,-,-,-,A train,0.0,1,1197,EXP6
5a073f1c1a4c780001d9e894,0,77,filler,-,-,-,An oven,0.0,1,1197,EXP6
5a073f1c1a4c780001d9e894,0,18,ps_prep,p,0,prep,The couriers with the diplomat's message,0.0,1,991,EXP6
5a073f1c1a4c780001d9e894,0,58,filler,-,-,-,Some iron railings,0.0,1,1296,EXP6
5a073f1c1a4c780001d9e894,0,30,ps_rel,p,0,rel,The students who had failed the class,0.0,1,1488,EXP6
5a073f1c1a4c780001d9e894,0,60,filler,-,-,-,A purse,0.0,0,1206,EXP6
5a073f1c1a4c780001d9e894,0,56,filler,-,-,-,The laptop,0.0,1,1089,EXP6
5a073f1c1a4c780001d9e894,0,11,sp_prep,s,0,prep,The neutral zone around the Arcturian solar systems,0.0,0,1025,EXP6
5a073f1c1a4c780001d9e894,0,78,filler,-,-,-,Some loud speakers,0.0,0,1167,EXP6
5a073f1c1a4c780001d9e894,0,2,ps_prep,p,0,prep,The pamphlets from the British government agency,0.0,0,1502,EXP6
